 ,RefDes,Value,Shape,Locked,Trace clearance,Part spacing,Pin swap,Gate swap,Part group
,12VIN,HDR1X2,HDR1X2,No,0.000000,Use design rule defaults,Yes,Internal gates only,No group
,ADCH,HDR1X8,Arduino_HDR1X8,Yes,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,ADCL,HDR1X8,Arduino_HDR1X8,Yes,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,C1,100pF,CAPR508-381X254X584,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,C2,100pF,CAPR508-381X254X584,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,C3,100pF,CAPR508-381X254X584,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,C4,100pF,CAPR508-381X254X584,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,C5,100pF,CAPR508-381X254X584,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,C6,100pF,CAPR508-381X254X584,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,COMMUNICATION,HDR1X8,Arduino_HDR1X8,Yes,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,D1,1N4149,DO-35,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,D2,1N4149,DO-35,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,D3,1N4149,DO-35,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,JP6,HDR1X10,Arduino_HDR1X10,Yes,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,POWER,HDR1X8,Arduino_HDR1X8,Yes,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,PWML,HDR1X8,Arduino_HDR1X8,Yes,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,Q1,TIP122G,TO254P482X997X1925-3P,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,Q2,TIP122G,TO254P482X997X1925-3P,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,Q3,TIP122G,TO254P482X997X1925-3P,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R1,22Ohm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R2,22Ohm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R3,22Ohm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R4,4.7kOhm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R5,22Ohm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R6,300Ohm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R7,22Ohm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R8,100Ohm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R9,22Ohm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R10,10kOhm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R11,22Ohm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R12,10kOhm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R13,10kOhm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R14,100kOhm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R15,22Ohm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R16,22Ohm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R17,10kOhm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R18,22Ohm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R19,22Ohm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R20,22Ohm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R21,22Ohm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,R22,22Ohm,RES1300-700X250,No,0.254000,Use design rule defaults,Yes,Internal gates only,No group
,RELAY,HDR2X3,HDR2X3,No,0.000000,Use design rule defaults,Yes,Internal gates only,No group
,SDCARD,HDR2X3,HDR2X3,No,0.000000,Use design rule defaults,Yes,Internal gates only,No group
,Sensors,RIBBON_16V,FKV16SN,No,0.000000,Use design rule defaults,Yes,Internal gates only,No group
,SERIAL,HDR1X3,HDR1X3,No,0.000000,Use design rule defaults,Yes,Internal gates only,No group
,XIO,HDR2X18,Arduino_HDR2X18,Yes,0.254000,Use design rule defaults,Yes,Internal gates only,No group
